fight_id,R_fighter,R_nickname,B_fighter,B_nickname,Winner,date,year,R_odds,B_odds,R_wins,R_losses,R_draw,B_wins,B_losses,B_draw,R_age,B_age,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_Stance,B_Stance,weight_class,title_bout,win_by,last_round,last_round_time,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,R_avg_TD_pct,B_avg_TD_pct,R_current_win_streak,B_current_win_streak,event,location
ufc_fight_00013,Khabib Nurmagomedov,The Eagle,Paul Felder,The Irish Dragon,Paul Felder,2017-07-02,2017,-115,105,9,3,1,21,5,1,27,27,178,192,208,189,Southpaw,Orthodox,Lightweight,False,Decision - Unanimous,3,5:00,33.31,66.01,4.33,4.6,48.9,77.19,5,11,UFC Fight Night 227,New York
ufc_fight_00014,Arman Tsarukyan,,Colby Covington,Chaos,Arman Tsarukyan,2022-01-10,2022,130,-150,14,3,0,24,7,0,23,35,197,199,166,203,Orthodox,Orthodox,Lightweight,False,KO/TKO,2,1:15,53.44,62.76,3.77,1.04,54.99,22.57,5,9,UFC 206,Las Vegas
ufc_fight_00015,TJ Dillashaw,,Song Yadong,,TJ Dillashaw,2017-01-18,2017,-300,250,21,4,0,20,7,0,26,34,177,183,199,195,Orthodox,Switch,Bantamweight,True,KO/TKO,5,1:24,45.04,61.55,1.48,3.48,79.5,66.34,8,4,UFC 162,Australia
ufc_fight_00016,Song Yadong,,Arnold Allen,Almighty,Arnold Allen,2024-05-29,2024,320,-400,12,1,0,19,0,0,29,37,190,171,193,172,Orthodox,Southpaw,Bantamweight,True,KO/TKO,2,4:19,66.68,34.73,2.38,0.61,75.45,39.13,9,8,UFC 306,London
ufc_fight_00017,Arman Tsarukyan,,Dustin Poirier,The Diamond,Dustin Poirier,2017-06-23,2017,-110,-110,26,2,0,12,5,0,23,34,180,195,190,205,Orthodox,Orthodox,Lightweight,False,KO/TKO,1,1:12,66.68,64.79,2.38,4.26,76.05,28.32,10,11,UFC 237,Canada
ufc_fight_00018,Jessica Andrade,Bate Estaca,Cain Velasquez,,Jessica Andrade,2019-04-03,2019,105,-105,28,7,0,12,5,0,34,28,185,178,177,204,Orthodox,Southpaw,Women's Strawweight,False,Decision - Unanimous,3,5:00,56.66,53.24,3.02,2.15,62.14,50.4,5,1,UFC Fight Night 139,Las Vegas
ufc_fight_00019,Sean O'Malley,Suga,Dominick Cruz,The Dominator,Dominick Cruz,2022-12-13,2022,-150,130,15,4,1,19,2,0,30,24,183,190,169,184,Orthodox,Switch,Bantamweight,False,Decision - Unanimous,3,5:00,47.8,62.8,1.4,3.01,37.41,70.23,2,0,UFC Fight Night 120,Las Vegas
ufc_fight_00020,Nick Diaz,,Movsar Evloev,,Movsar Evloev,2024-10-24,2024,-180,150,16,8,1,10,1,0,38,33,172,196,179,193,Southpaw,Orthodox,Welterweight,False,Submission,2,3:54,61.44,50.13,0.5,1.61,19.14,65.45,5,4,UFC 287,Brazil
ufc_fight_00021,Petr Yan,No Mercy,Sean O'Malley,Suga,Sean O'Malley,2017-04-23,2017,-400,320,14,5,0,28,8,0,39,33,200,182,167,189,Southpaw,Southpaw,Bantamweight,False,Decision - Unanimous,3,5:00,41.51,56.84,0.05,2.87,25.5,12.94,9,4,UFC 169,Abu Dhabi
ufc_fight_00022,Movsar Evloev,,Chan Sung Jung,The Korean Zombie,Movsar Evloev,2015-08-18,2015,-300,250,27,8,0,12,7,0,38,24,194,180,209,207,Switch,Orthodox,Featherweight,False,Decision - Split,3,5:00,53.94,37.99,3.64,4.53,70.11,29.26,10,8,UFC 270,Canada
ufc_fight_00023,Daniel Cormier,DC,Beneil Dariush,,Daniel Cormier,2023-03-26,2023,200,-250,8,8,1,19,5,0,30,26,198,198,190,197,Orthodox,Orthodox,Light Heavyweight,False,Decision - Split,3,5:00,49.21,33.33,0.85,4.15,67.42,39.47,7,12,UFC 274,Canada
ufc_fight_00024,Ciryl Gane,Bon Gamin,Luke Rockhold,,Ciryl Gane,2017-05-14,2017,130,-150,22,6,0,21,3,1,34,36,193,176,175,206,Orthodox,Orthodox,Heavyweight,False,Submission,3,4:47,54.66,43.57,4.99,1.32,58.48,77.44,7,12,UFC 209,Brazil
ufc_fight_00025,Colby Covington,Chaos,Eddie Alvarez,,Eddie Alvarez,2016-07-10,2016,150,-180,16,3,0,26,7,1,35,33,175,166,203,173,Orthodox,Switch,Welterweight,False,Submission,1,4:22,52.51,37.15,4.6,3.47,19.87,53.06,12,5,UFC 291,Las Vegas
ufc_fight_00026,Stephen Thompson,Wonderboy,Georges St-Pierre,GSP,Georges St-Pierre,2022-05-05,2022,170,-200,19,6,0,19,5,0,27,29,200,184,212,168,Southpaw,Orthodox,Welterweight,True,Submission,3,3:46,36.82,68.7,1.34,1.98,34.49,54.28,9,12,UFC 263,Abu Dhabi
ufc_fight_00027,Robbie Lawler,Ruthless,Chan Sung Jung,The Korean Zombie,Chan Sung Jung,2018-12-16,2018,-150,130,19,5,0,22,8,0,34,39,185,187,199,210,Orthodox,Orthodox,Welterweight,False,Decision - Unanimous,3,5:00,68.05,62.39,3.57,1.7,31.47,26.61,10,12,UFC 227,Canada
ufc_fight_00028,Khabib Nurmagomedov,The Eagle,Beneil Dariush,,Khabib Nurmagomedov,2018-09-12,2018,-110,-110,18,2,0,18,8,0,39,37,178,188,194,178,Orthodox,Orthodox,Lightweight,False,Decision - Split,3,5:00,67.6,39.55,1.93,1.08,62.13,32.58,12,8,UFC 207,Canada
ufc_fight_00029,Petr Yan,No Mercy,Marlon Vera,Chito,Marlon Vera,2015-03-06,2015,-250,200,26,3,0,19,8,0,34,24,168,197,205,188,Orthodox,Orthodox,Bantamweight,False,KO/TKO,1,2:11,51.74,67.83,3.48,4.29,13.45,66.1,12,5,UFC 268,Abu Dhabi
ufc_fight_00030,Arman Tsarukyan,,Paul Felder,The Irish Dragon,Paul Felder,2022-11-08,2022,250,-300,25,3,1,28,1,1,31,34,194,176,204,169,Orthodox,Orthodox,Lightweight,False,KO/TKO,1,0:28,58.09,67.1,2.03,1.82,22.3,44.84,3,8,UFC Fight Night 102,Los Angeles
ufc_fight_00031,Ilia Topuria,El Matador,Chris Weidman,The All-American,Chris Weidman,2019-03-09,2019,105,-105,14,6,1,20,7,1,29,39,184,178,191,207,Switch,Orthodox,Featherweight,True,KO/TKO,4,0:03,63.35,51.67,2.32,2.2,56.3,38.14,12,4,UFC Fight Night 134,New York
ufc_fight_00032,Nick Diaz,,Gilbert Burns,Durinho,Nick Diaz,2017-06-19,2017,250,-300,28,7,0,8,6,0,38,37,182,175,194,165,Southpaw,Orthodox,Welterweight,False,Decision - Unanimous,3,5:00,35.12,30.86,4.73,0.19,34.13,74.68,4,1,UFC Fight Night 176,Canada
ufc_fight_00033,TJ Dillashaw,,Rob Font,,Rob Font,2015-04-19,2015,-180,150,28,0,0,21,8,0,25,24,169,192,189,180,Orthodox,Southpaw,Bantamweight,False,KO/TKO,3,1:31,53.75,59.48,0.43,4.23,29.04,49.74,5,11,UFC 287,Brazil
ufc_fight_00034,Sean O'Malley,Suga,Dominick Cruz,The Dominator,Sean O'Malley,2016-02-12,2016,150,-180,18,0,0,24,2,0,31,23,173,166,165,169,Orthodox,Switch,Bantamweight,False,KO/TKO,3,4:14,47.3,32.3,0.4,4.19,40.74,61.06,1,9,UFC 241,Las Vegas
ufc_fight_00035,Movsar Evloev,,Rob Font,,Rob Font,2015-11-27,2015,-110,-110,21,5,1,11,0,0,39,31,165,191,196,193,Orthodox,Orthodox,Featherweight,False,KO/TKO,1,1:36,33.3,60.93,1.64,2.41,59.66,58.21,10,6,UFC Fight Night 122,Australia
ufc_fight_00036,Deiveson Figueiredo,Deus da Guerra,Alex Pereira,Poatan,Alex Pereira,2021-02-06,2021,320,-400,20,4,0,25,7,1,34,28,189,199,200,215,Orthodox,Orthodox,Flyweight,False,Submission,2,1:50,41.39,63.32,0.12,0.26,43.91,43.85,8,1,UFC 167,Los Angeles
ufc_fight_00037,Jon Jones,Bones,Valentina Shevchenko,Bullet,Valentina Shevchenko,2019-05-14,2019,250,-300,18,4,0,27,0,0,33,31,173,176,211,196,Orthodox,Switch,Light Heavyweight,False,Decision - Unanimous,3,5:00,51.77,51.76,0.93,0.08,39.44,22.58,0,10,UFC 234,Canada
ufc_fight_00038,Alexander Volkanovski,The Great,Brian Ortega,T-City,Brian Ortega,2017-05-30,2017,200,-250,9,3,0,20,0,0,30,23,188,175,169,182,Switch,Orthodox,Featherweight,False,KO/TKO,1,1:41,61.29,56.25,0.01,3.65,12.7,37.89,4,10,UFC Fight Night 200,Canada
ufc_fight_00039,Yoel Romero,Soldier of God,Robbie Lawler,Ruthless,Robbie Lawler,2019-11-16,2019,105,-105,10,4,0,13,0,1,31,39,184,192,210,211,Southpaw,Orthodox,Middleweight,False,Decision - Unanimous,3,5:00,53.59,36.86,0.49,2.02,74.14,72.78,5,6,UFC Fight Night 245,Las Vegas
ufc_fight_00040,Jiri Prochazka,BJP,Glover Teixeira,,Glover Teixeira,2021-03-31,2021,-180,150,26,5,0,16,4,0,39,33,196,174,187,184,Orthodox,Switch,Light Heavyweight,False,Decision - Majority,3,5:00,61.12,47.17,2.26,1.84,61.87,36.67,0,8,UFC 306,Las Vegas
ufc_fight_00041,Holly Holm,The Preacher's Daughter,Julianna Pena,The Venezuelan Vixen,Holly Holm,2017-04-06,2017,-110,-110,18,5,0,15,5,0,33,25,180,165,193,204,Southpaw,Switch,Women's Bantamweight,False,Decision - Unanimous,3,5:00,44.45,30.28,3.07,1.18,19.54,14.39,12,9,UFC 279,London
ufc_fight_00042,Valentina Shevchenko,Bullet,Alexa Grasso,,Valentina Shevchenko,2015-10-11,2015,-400,320,15,3,0,28,0,0,32,36,173,174,181,201,Southpaw,Orthodox,Women's Flyweight,False,Decision - Unanimous,3,5:00,45.47,64.98,3.1,3.18,77.26,64.39,6,10,UFC 219,Australia
ufc_fight_00043,Leon Edwards,Rocky,Georges St-Pierre,GSP,Leon Edwards,2014-09-25,2014,320,-400,15,2,1,22,4,1,38,26,191,187,195,203,Switch,Orthodox,Welterweight,False,KO/TKO,4,1:33,44.47,64.98,3.01,0.63,37.91,18.05,5,0,UFC 299,London
ufc_fight_00044,Rose Namajunas,Thug,Carla Esparza,Cookie Monster,Carla Esparza,2018-04-11,2018,105,-115,12,2,0,10,2,0,38,35,167,169,166,185,Orthodox,Orthodox,Women's Strawweight,False,Decision - Unanimous,3,5:00,31.81,31.56,3.53,0.81,19.78,65.14,1,10,UFC 156,Canada
ufc_fight_00045,Weili Zhang,Magnum,Jessica Andrade,Bate Estaca,Jessica Andrade,2016-07-22,2016,250,-300,14,7,0,24,1,1,28,39,196,187,186,180,Southpaw,Southpaw,Women's Strawweight,False,Submission,5,4:05,62.0,31.96,2.89,3.3,79.89,70.08,0,6,UFC 221,Las Vegas
ufc_fight_00046,Chris Weidman,The All-American,Shavkat Rakhmonov,Nomad,Shavkat Rakhmonov,2023-06-02,2023,-180,150,25,6,0,8,0,1,36,31,180,182,183,211,Southpaw,Orthodox,Middleweight,False,KO/TKO,3,0:00,68.61,30.26,3.29,0.65,29.34,75.85,9,5,UFC Fight Night 143,Australia
ufc_fight_00047,Tony Ferguson,El Cucuy,Vicente Luque,The Silent Assassin,Tony Ferguson,2015-03-05,2015,-200,170,10,3,0,28,7,0,24,24,187,179,192,188,Switch,Switch,Lightweight,False,Submission,2,1:33,47.11,54.69,2.74,3.13,21.14,64.46,0,0,UFC 187,Abu Dhabi
ufc_fight_00048,Justin Gaethje,The Highlight,Arman Tsarukyan,,Arman Tsarukyan,2024-05-01,2024,-250,200,13,2,0,13,3,0,30,33,193,188,179,178,Orthodox,Southpaw,Lightweight,False,Decision - Majority,3,5:00,54.69,52.42,4.92,1.71,31.69,69.8,7,5,UFC 243,Australia
ufc_fight_00049,Michael Chiesa,Maverick,Islam Makhachev,,Islam Makhachev,2014-01-29,2014,130,-150,24,3,0,10,8,0,23,27,185,182,168,211,Orthodox,Southpaw,Lightweight,False,KO/TKO,4,4:16,41.18,56.66,1.47,0.46,58.25,72.41,9,3,UFC 246,Brazil
ufc_fight_00050,Francis Ngannou,The Predator,Cain Velasquez,,Cain Velasquez,2023-07-19,2023,-110,-110,10,7,1,13,6,0,26,30,169,198,166,195,Orthodox,Orthodox,Heavyweight,False,Decision - Unanimous,3,5:00,47.57,64.6,4.78,0.36,67.5,25.14,10,10,UFC 209,Las Vegas
ufc_fight_00051,Henry Cejudo,The Messenger,Brandon Royval,Raw Dawg,Brandon Royval,2016-09-22,2016,-200,170,27,8,1,26,1,0,32,28,170,169,211,190,Orthodox,Orthodox,Flyweight,False,KO/TKO,1,1:14,58.12,51.6,4.7,1.54,24.59,59.74,4,4,UFC Fight Night 213,London
ufc_fight_00052,Movsar Evloev,,Alexander Volkanovski,The Great,Movsar Evloev,2015-01-10,2015,105,-105,25,1,0,19,1,1,27,23,187,170,201,200,Orthodox,Southpaw,Featherweight,False,KO/TKO,5,3:59,49.67,41.78,4.68,1.65,39.97,21.92,2,2,UFC 173,New York
ufc_fight_00053,Charles Oliveira,Do Bronx,Dricus du Plessis,Stillknocks,Charles Oliveira,2021-10-16,2021,-110,-110,25,2,0,18,6,0,24,27,173,193,185,165,Switch,Switch,Lightweight,False,KO/TKO,2,1:55,67.01,36.83,3.45,3.97,21.35,21.99,5,12,UFC 303,London
ufc_fight_00054,Tom Aspinall,,Cain Velasquez,,Tom Aspinall,2018-04-12,2018,-110,-110,27,7,0,19,5,1,32,37,175,175,192,198,Southpaw,Orthodox,Heavyweight,False,Submission,4,4:55,32.81,44.49,3.38,4.26,41.24,49.69,4,9,UFC 238,New York
ufc_fight_00055,Shavkat Rakhmonov,Nomad,Tyron Woodley,The Chosen One,Shavkat Rakhmonov,2015-10-07,2015,200,-250,15,7,0,11,3,0,31,38,196,193,181,201,Orthodox,Orthodox,Welterweight,False,KO/TKO,2,2:11,34.34,61.88,4.82,2.48,57.8,57.79,5,2,UFC Fight Night 127,Los Angeles
ufc_fight_00056,Alex Pereira,Poatan,Jamahal Hill,Sweet Dreams,Jamahal Hill,2018-09-24,2018,250,-300,10,1,0,22,2,1,36,34,173,168,193,198,Orthodox,Orthodox,Light Heavyweight,False,KO/TKO,3,4:39,34.23,30.75,3.14,2.62,63.73,33.33,12,3,UFC 307,Los Angeles
ufc_fight_00057,Song Yadong,,Rose Namajunas,Thug,Song Yadong,2024-08-25,2024,-180,150,14,1,0,13,1,1,24,35,199,192,169,203,Orthodox,Switch,Bantamweight,False,Submission,2,1:17,33.33,46.27,0.88,0.08,31.29,49.78,8,1,UFC 206,Los Angeles
ufc_fight_00058,Islam Makhachev,,Eddie Alvarez,,Islam Makhachev,2024-04-07,2024,-200,170,17,2,1,21,4,0,32,30,186,173,176,192,Orthodox,Orthodox,Lightweight,False,KO/TKO,1,3:34,57.44,41.41,1.31,3.95,32.91,56.36,10,10,UFC Fight Night 199,Las Vegas
ufc_fight_00059,TJ Dillashaw,,Petr Yan,No Mercy,TJ Dillashaw,2021-12-01,2021,-110,-110,11,7,0,20,1,0,35,33,173,168,196,208,Southpaw,Orthodox,Bantamweight,False,Decision - Unanimous,3,5:00,48.14,41.26,3.38,4.93,74.92,19.04,3,10,UFC Fight Night 206,Abu Dhabi
ufc_fight_00060,Colby Covington,Chaos,Belal Muhammad,Remember the Name,Belal Muhammad,2020-12-15,2020,200,-250,27,5,0,21,8,0,33,28,194,177,214,213,Switch,Orthodox,Welterweight,False,KO/TKO,1,2:24,47.69,69.3,4.15,3.45,22.74,59.14,7,3,UFC 226,New York
ufc_fight_00061,Paul Felder,The Irish Dragon,Daniel Cormier,DC,Paul Felder,2016-10-10,2016,320,-400,12,3,0,21,3,1,31,37,197,167,202,176,Orthodox,Orthodox,Lightweight,False,KO/TKO,1,3:20,36.58,35.7,2.41,3.38,52.69,50.21,1,0,UFC 302,New York
ufc_fight_00062,Jessica Andrade,Bate Estaca,Chris Weidman,The All-American,Chris Weidman,2017-06-20,2017,170,-200,12,5,0,8,2,0,38,33,198,186,189,180,Orthodox,Orthodox,Women's Strawweight,False,KO/TKO,2,1:02,33.41,41.57,3.17,2.71,70.52,43.73,9,2,UFC Fight Night 116,Canada
ufc_fight_00063,Georges St-Pierre,GSP,Nick Diaz,,Georges St-Pierre,2022-03-18,2022,-250,200,27,0,1,17,0,0,26,31,177,180,197,199,Switch,Orthodox,Welterweight,False,Submission,1,4:29,48.17,50.66,2.72,0.26,28.24,17.48,1,7,UFC 305,Canada
ufc_fight_00064,Demetrious Johnson,Mighty Mouse,Brandon Moreno,The Assassin Baby,Brandon Moreno,2016-04-07,2016,105,-105,22,4,0,16,1,0,30,28,176,174,188,179,Orthodox,Southpaw,Flyweight,False,KO/TKO,3,1:12,57.36,61.16,3.89,3.16,10.8,50.72,7,3,UFC Fight Night 176,Australia
ufc_fight_00065,Colby Covington,Chaos,Henry Cejudo,The Messenger,Colby Covington,2019-01-31,2019,320,-400,21,6,0,21,8,0,24,23,175,189,192,187,Switch,Orthodox,Welterweight,False,KO/TKO,1,2:11,41.48,61.84,1.81,4.44,54.6,43.02,0,3,UFC 224,New York
ufc_fight_00066,Colby Covington,Chaos,Shavkat Rakhmonov,Nomad,Colby Covington,2024-01-01,2024,-110,-110,18,2,0,12,2,0,28,28,187,199,211,209,Orthodox,Orthodox,Welterweight,False,Submission,1,1:39,48.5,48.62,1.77,3.8,70.67,54.87,3,4,UFC 184,Las Vegas
ufc_fight_00067,Ciryl Gane,Bon Gamin,Alexa Grasso,,Alexa Grasso,2021-02-16,2021,130,-150,24,7,0,23,8,0,34,30,170,168,211,215,Orthodox,Southpaw,Heavyweight,False,Decision - Unanimous,3,5:00,32.73,49.35,3.76,1.56,63.54,60.81,7,3,UFC 287,Las Vegas
ufc_fight_00068,Tyron Woodley,The Chosen One,Nick Diaz,,Tyron Woodley,2024-01-19,2024,-250,200,17,0,0,22,1,1,30,31,192,187,198,196,Switch,Orthodox,Welterweight,False,KO/TKO,2,4:58,52.18,63.99,0.75,1.02,32.66,72.39,12,8,UFC 293,Los Angeles
ufc_fight_00069,Max Holloway,Blessed,Brian Ortega,T-City,Brian Ortega,2023-07-08,2023,130,-150,19,5,0,13,1,1,25,25,194,175,199,192,Orthodox,Orthodox,Featherweight,False,Submission,1,2:31,47.11,49.98,4.55,4.52,55.62,69.17,7,10,UFC 289,Brazil
ufc_fight_00070,Alex Pereira,Poatan,Glover Teixeira,,Alex Pereira,2021-06-06,2021,-180,150,10,1,0,26,1,0,29,24,184,168,191,170,Southpaw,Switch,Light Heavyweight,False,Submission,2,1:35,36.83,47.59,2.39,4.7,30.32,78.76,2,12,UFC 231,New York
ufc_fight_00071,Brandon Royval,Raw Dawg,Demetrious Johnson,Mighty Mouse,Brandon Royval,2015-09-24,2015,-200,170,21,5,1,15,0,0,35,39,182,179,188,179,Orthodox,Switch,Flyweight,False,Decision - Unanimous,3,5:00,48.51,53.08,2.84,3.1,35.22,62.68,6,11,UFC 301,Los Angeles
ufc_fight_00072,Nick Diaz,,Nate Diaz,,Nate Diaz,2015-08-05,2015,-115,105,22,6,0,13,1,1,25,37,167,174,190,180,Orthodox,Orthodox,Welterweight,False,Submission,2,4:43,46.45,37.01,2.97,4.96,33.85,64.11,0,12,UFC 193,Los Angeles
ufc_fight_00073,Chan Sung Jung,The Korean Zombie,Khabib Nurmagomedov,The Eagle,Khabib Nurmagomedov,2017-05-01,2017,-180,150,27,4,0,22,8,1,31,24,185,166,179,197,Southpaw,Orthodox,Featherweight,False,Submission,1,4:02,59.85,36.26,2.51,1.96,45.04,37.18,10,5,UFC 283,Australia
ufc_fight_00074,Dustin Poirier,The Diamond,Nick Diaz,,Nick Diaz,2019-11-27,2019,170,-200,14,2,0,25,7,0,36,35,185,199,215,199,Switch,Orthodox,Lightweight,False,KO/TKO,2,1:45,46.71,38.16,2.41,0.66,79.79,29.23,4,11,UFC 247,Australia
ufc_fight_00075,Michael Chandler,Iron,Michael Chiesa,Maverick,Michael Chandler,2023-09-18,2023,150,-180,19,3,0,21,5,0,23,26,183,183,173,171,Orthodox,Switch,Lightweight,False,KO/TKO,1,2:13,39.35,42.21,2.96,0.63,60.62,44.08,8,1,UFC 173,Canada
ufc_fight_00076,Marvin Vettori,The Italian Dream,Robert Whittaker,The Reaper,Marvin Vettori,2024-07-28,2024,-150,130,24,7,0,26,2,0,26,30,186,198,204,182,Orthodox,Switch,Middleweight,False,Submission,1,2:06,46.77,30.73,1.11,2.25,76.3,45.3,12,7,UFC 176,Las Vegas
ufc_fight_00077,Jorge Masvidal,Gamebred,Georges St-Pierre,GSP,Georges St-Pierre,2021-08-25,2021,-110,-110,15,2,0,11,2,0,25,39,190,186,195,178,Southpaw,Orthodox,Welterweight,False,KO/TKO,1,0:52,30.33,30.56,0.22,3.56,56.35,13.89,5,4,UFC Fight Night 135,Abu Dhabi
ufc_fight_00078,Glover Teixeira,,Jon Jones,Bones,Glover Teixeira,2022-07-08,2022,-400,320,24,0,0,17,3,1,24,33,166,189,169,205,Orthodox,Southpaw,Light Heavyweight,False,Decision - Unanimous,3,5:00,32.85,68.51,3.38,1.91,64.56,15.52,8,7,UFC Fight Night 245,Abu Dhabi
ufc_fight_00079,Glover Teixeira,,Jon Jones,Bones,Jon Jones,2023-03-26,2023,150,-180,14,8,0,22,5,1,27,32,174,193,165,202,Orthodox,Southpaw,Light Heavyweight,False,Submission,2,4:21,56.09,33.58,1.78,1.64,12.39,66.89,4,6,UFC 232,London
ufc_fight_00080,Nate Diaz,,Belal Muhammad,Remember the Name,Belal Muhammad,2015-12-28,2015,-200,170,10,5,1,15,2,1,24,39,176,182,181,185,Switch,Orthodox,Welterweight,False,Submission,1,4:25,48.28,43.17,0.7,2.06,40.7,60.4,10,6,UFC 292,New York
ufc_fight_00081,Glover Teixeira,,Jiri Prochazka,BJP,Jiri Prochazka,2018-10-23,2018,150,-180,25,8,0,9,5,1,31,34,194,197,184,192,Orthodox,Switch,Light Heavyweight,False,KO/TKO,3,3:23,68.63,49.6,3.31,4.87,23.12,66.41,4,9,UFC 177,Los Angeles
ufc_fight_00082,Alexa Grasso,,Valentina Shevchenko,Bullet,Alexa Grasso,2018-06-19,2018,200,-250,24,7,1,23,8,1,25,34,172,180,190,196,Orthodox,Southpaw,Women's Flyweight,False,Decision - Unanimous,3,5:00,44.49,36.03,3.16,1.95,31.57,18.69,11,0,UFC Fight Night 102,Australia
ufc_fight_00083,Frankie Edgar,The Answer,Calvin Kattar,The Boston Finisher,Calvin Kattar,2021-05-20,2021,-105,105,11,2,0,12,3,0,28,24,196,167,209,186,Switch,Orthodox,Featherweight,False,Decision - Unanimous,3,5:00,50.5,48.05,0.8,3.26,52.99,22.96,5,0,UFC 190,New York
