R_fighter,B_fighter,Winner,date,R_odds,B_odds,R_wins,R_losses,R_draw,B_wins,B_losses,B_draw,R_age,B_age,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_Stance,B_Stance,weight_class,title_bout,win_by,last_round,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,R_avg_TD_pct,B_avg_TD_pct,event
Justin Gaethje,Alexander Volkanovski,Justin Gaethje,2017-11-04,150,-180,22,2,0,22,4,0,27,34,170,195,181,174,Orthodox,Southpaw,Light Heavyweight,False,Submission,1,35.90372915874321,49.213354894602915,1.4622425391817804,0.9152403566942975,27.293163363619836,30.16851914736487,UFC 229
Jon Jones,Francis Ngannou,Francis Ngannou,2022-05-24,150,-180,24,1,0,19,4,0,31,30,178,175,186,171,Switch,Southpaw,Welterweight,False,KO/TKO,1,40.46708480855938,62.610219156897195,1.355448904583104,1.4625885692635738,34.751467514253285,22.559949785588557,UFC 229
Kamaru Usman,Jorge Masvidal,Jorge Masvidal,2021-11-12,-200,170,24,2,0,23,4,0,25,27,190,192,172,172,Switch,Switch,Welterweight,False,Submission,3,48.71785202748183,49.25924783977517,1.594500463762317,3.432254600210447,43.84736992279629,67.94526981289525,UFC 294
Alexander Volkanovski,Khabib Nurmagomedov,Khabib Nurmagomedov,2022-05-31,-200,170,21,0,0,25,4,0,34,34,173,193,173,189,Orthodox,Orthodox,Middleweight,False,Submission,1,39.08481952010846,56.74515663767532,0.5369562507026298,2.1457939178866146,35.70968283693682,53.747639569683976,UFC 241
Israel Adesanya,Gilbert Burns,Israel Adesanya,2014-01-14,150,-180,18,0,0,25,0,0,26,37,181,188,173,180,Orthodox,Orthodox,Heavyweight,False,Decision - Unanimous,3,64.71256422198888,59.481285099475144,3.7175561732778744,2.92374119998944,36.524061791824224,62.297606219683345,UFC 264
Khabib Nurmagomedov,Ciryl Gane,Khabib Nurmagomedov,2021-07-11,150,-180,25,4,0,23,1,0,27,36,195,186,186,188,Southpaw,Orthodox,Light Heavyweight,True,Submission,5,57.36553634582397,51.849539619800154,1.689184279396044,0.7198814925760919,22.352241439784358,30.782981892363082,UFC 263
Belal Muhammad,Islam Makhachev,Islam Makhachev,2021-06-09,-200,170,25,3,0,14,0,0,27,34,188,192,207,206,Southpaw,Southpaw,Welterweight,False,Decision - Unanimous,2,58.047764819351016,64.37699790808455,0.47075540638261204,3.777854769887976,45.5161306445073,45.13987067744618,UFC 271
Israel Adesanya,Alexander Volkanovski,Alexander Volkanovski,2020-12-15,-200,170,20,5,0,16,3,0,28,31,177,185,180,181,Switch,Orthodox,Middleweight,True,Decision - Unanimous,4,37.43734154421348,58.90496903476113,1.124294457518865,2.254334019227543,36.638215725337005,56.62820158207,UFC 240
Alexander Volkanovski,Israel Adesanya,Alexander Volkanovski,2014-05-29,150,-180,15,4,0,17,1,0,28,34,176,173,170,183,Orthodox,Orthodox,Welterweight,False,Decision - Split,3,53.552514295688184,45.015210427724824,3.890884835897747,3.357015339799519,66.77898935283595,64.36985951571278,UFC 219
Charles Oliveira,Alexander Volkanovski,Charles Oliveira,2020-07-16,150,-180,22,3,0,13,0,0,27,30,188,190,196,201,Orthodox,Southpaw,Heavyweight,False,KO/TKO,2,39.61929548227049,39.86176183688138,2.4619931171418323,3.616886795698622,61.83955760924734,64.55718596097928,UFC 204
Colby Covington,Alexander Volkanovski,Colby Covington,2015-05-26,-200,170,24,3,0,16,0,0,30,32,176,193,185,191,Orthodox,Southpaw,Light Heavyweight,False,Decision - Unanimous,3,41.84377125232359,63.72652293441149,3.6265521289723956,3.6252602053731597,37.56148697346685,31.15578938108593,UFC 207
Jon Jones,Gilbert Burns,Jon Jones,2019-05-30,150,-180,25,1,0,16,1,0,31,30,194,172,179,189,Southpaw,Switch,Welterweight,False,Submission,5,59.591972728067994,38.21380538054228,1.2917534926089957,0.45696641818214045,39.667624768706155,49.89079490494963,UFC 241
Islam Makhachev,Nick Diaz,Nick Diaz,2021-05-30,150,-180,19,3,0,15,1,0,34,36,179,191,182,185,Switch,Orthodox,Heavyweight,False,Decision - Unanimous,5,62.210785182839516,34.25576062797677,2.636835097674771,3.0923796935296624,44.88415594057004,57.88587573967466,UFC 283
Dustin Poirier,Islam Makhachev,Islam Makhachev,2019-05-25,-200,170,21,2,0,18,1,0,37,35,185,191,197,189,Switch,Switch,Light Heavyweight,False,Decision - Unanimous,2,52.45021612974216,43.54940301377549,0.07996038910354697,0.6779046628995737,62.498644418691704,53.217509197991404,UFC 239
Islam Makhachev,Colby Covington,Islam Makhachev,2018-09-23,-200,170,12,5,0,25,3,0,27,31,178,186,187,172,Orthodox,Orthodox,Lightweight,False,Submission,4,60.56896587675365,63.77654158331047,1.9356478044188163,3.4669695163592,27.586871958949978,26.650425074362136,UFC 233
Islam Makhachev,Jorge Masvidal,Jorge Masvidal,2014-01-24,-200,170,24,1,0,25,3,0,38,28,175,190,177,193,Switch,Orthodox,Heavyweight,False,Decision - Split,2,34.98813795633116,36.73708262772432,2.9003989497535203,1.7248153578171328,47.50603223366263,36.24778782834457,UFC 294
Colby Covington,Max Holloway,Colby Covington,2017-12-28,-200,170,10,4,0,25,3,0,29,27,173,184,183,172,Southpaw,Orthodox,Welterweight,False,Decision - Split,2,60.307427839696395,47.74168534891337,2.3526700747982834,1.8265313712639952,27.934048688157674,30.317676104012982,UFC 203
Aljamain Sterling,Sean O'Malley,Aljamain Sterling,2021-08-15,-200,170,23,1,0,19,0,0,34,36,185,180,194,188,Switch,Switch,Lightweight,True,Decision - Split,3,41.316504431804205,47.35990608930681,0.28858439466457586,1.4478057749696518,47.8242768593323,63.87913828062024,UFC 206
Tony Ferguson,Jon Jones,Tony Ferguson,2017-08-20,-200,170,12,3,0,21,0,0,32,29,183,178,186,180,Orthodox,Orthodox,Heavyweight,False,Decision - Unanimous,5,35.559682939969164,59.08655993864725,1.2440960918476764,0.998463217779876,23.37127815125029,53.64055351265671,UFC 282
Sean O'Malley,Georges St-Pierre,Sean O'Malley,2015-04-08,150,-180,18,3,0,25,5,0,29,25,186,195,192,207,Southpaw,Southpaw,Lightweight,True,Decision - Split,2,56.96206927137945,58.98448649045983,3.2546142025628897,1.7713112324696194,34.70331343464623,60.63504854720222,UFC 203
Aljamain Sterling,Jon Jones,Aljamain Sterling,2016-01-04,-200,170,10,1,0,21,0,0,28,34,182,184,207,209,Southpaw,Switch,Welterweight,True,Decision - Split,5,32.06347517045697,61.56440314224551,2.925007550941046,3.0179147451386292,28.81840315443877,23.359216064287434,UFC 233
Kamaru Usman,Justin Gaethje,Kamaru Usman,2017-09-05,-200,170,24,0,0,23,3,0,28,27,182,190,174,171,Orthodox,Switch,Light Heavyweight,False,KO/TKO,4,64.1942057246963,39.11216887287927,1.5825213839433072,1.6764457912665502,40.65297325523106,28.073066487289765,UFC 305
Gilbert Burns,Alex Pereira,Alex Pereira,2014-06-03,150,-180,18,1,0,18,3,0,26,33,179,189,187,200,Orthodox,Orthodox,Lightweight,False,KO/TKO,1,53.627755785055534,38.09715580548232,1.2997851435700665,2.0173661186372263,47.08547145366495,36.22303146622904,UFC 245
Georges St-Pierre,Gilbert Burns,Georges St-Pierre,2023-10-11,150,-180,18,3,0,17,1,0,34,34,174,177,181,175,Southpaw,Orthodox,Middleweight,False,KO/TKO,2,33.729173009488505,55.817899138846684,1.0185113519707234,0.7131365947145509,62.098141919977984,45.76475202166843,UFC 253
Conor McGregor,Georges St-Pierre,Conor McGregor,2016-04-24,-200,170,19,2,0,10,1,0,35,33,174,186,199,209,Switch,Orthodox,Lightweight,False,Decision - Unanimous,1,37.86233653954896,40.94111372489373,0.9698159349257449,0.8339810458817616,68.36929525531882,27.111248940161996,UFC 228
Dustin Poirier,Charles Oliveira,Dustin Poirier,2014-12-13,-200,170,18,5,0,22,3,0,26,27,182,180,170,179,Orthodox,Orthodox,Light Heavyweight,False,Decision - Split,5,43.33898723097525,61.62350026051365,1.4827848832200519,2.978396970765458,32.07132378561672,64.12571114481085,UFC 200
Leon Edwards,Alexander Volkanovski,Alexander Volkanovski,2016-08-28,-200,170,23,4,0,22,2,0,27,26,180,173,204,194,Orthodox,Switch,Light Heavyweight,False,KO/TKO,3,61.635942079696356,47.677612073060295,3.197194271589293,2.973623216626672,59.42937578808594,31.174717164106863,UFC 256
Alexander Volkanovski,Islam Makhachev,Alexander Volkanovski,2017-07-25,-200,170,10,1,0,13,1,0,37,25,187,180,201,192,Orthodox,Switch,Light Heavyweight,False,Decision - Unanimous,5,46.768945417648624,38.374628503826074,2.760662533274105,3.28872820468459,21.241691147459072,28.95551153341581,UFC 245
Jon Jones,Khabib Nurmagomedov,Jon Jones,2021-12-12,-200,170,10,1,0,25,2,0,27,28,172,179,185,179,Orthodox,Orthodox,Heavyweight,False,KO/TKO,2,46.91977218447816,45.62759240165089,1.3607980085620226,2.6858901118316703,30.206326878284145,33.25061854397789,UFC 275
Aljamain Sterling,Khabib Nurmagomedov,Aljamain Sterling,2022-06-25,-200,170,15,2,0,18,4,0,28,32,170,194,189,178,Switch,Orthodox,Welterweight,True,Submission,4,41.96819290944843,58.67591527046751,3.834471411266082,3.871755553593078,65.75363987637013,22.030695243159315,UFC 216
Dustin Poirier,Francis Ngannou,Francis Ngannou,2020-02-08,150,-180,12,4,0,25,3,0,36,36,194,183,188,207,Southpaw,Orthodox,Welterweight,False,KO/TKO,4,55.69457454164093,34.671204054809756,3.989402982072044,2.3525724281752853,48.898768836276986,24.13463153457483,UFC 204
Aljamain Sterling,Colby Covington,Colby Covington,2021-06-03,150,-180,18,3,0,23,1,0,28,25,189,180,185,173,Orthodox,Southpaw,Light Heavyweight,False,Decision - Split,5,43.34549481045279,34.493046758916336,3.7677582713919704,0.08834815045604438,28.96635822234701,64.100177653171,UFC 200
Anderson Silva,Alexander Volkanovski,Alexander Volkanovski,2022-10-22,-200,170,18,5,0,25,4,0,28,26,195,173,180,200,Southpaw,Southpaw,Middleweight,False,Submission,1,30.468660108888965,59.63063360492582,1.1335891204730677,3.478318459115571,32.891975810747006,37.33868496433558,UFC 264
Aljamain Sterling,Nick Diaz,Nick Diaz,2016-06-16,-200,170,21,1,0,17,4,0,32,38,179,185,203,182,Southpaw,Switch,Light Heavyweight,True,Decision - Unanimous,5,39.96737562827371,52.297498462159105,3.070496239421432,2.3000641340194594,34.9841190787415,35.45306339696204,UFC 224
Georges St-Pierre,Colby Covington,Colby Covington,2018-05-03,150,-180,14,5,0,19,0,0,29,27,187,178,198,186,Switch,Switch,Light Heavyweight,False,Decision - Split,4,50.067868663435156,39.39536328924811,2.882429695190343,3.7551400670074484,52.283104337989975,24.92963869057381,UFC 242
Khabib Nurmagomedov,Israel Adesanya,Khabib Nurmagomedov,2016-09-07,150,-180,14,0,0,20,1,0,32,38,190,186,205,174,Southpaw,Southpaw,Lightweight,False,Decision - Unanimous,1,36.65671614375436,51.74314060478717,3.6011925787068066,0.5755112587839579,57.342104760313184,24.95308487680485,UFC 260
Max Holloway,Jamahal Hill,Jamahal Hill,2016-08-19,150,-180,20,1,0,22,2,0,32,38,192,174,174,197,Orthodox,Switch,Heavyweight,False,Submission,2,50.85488796738623,35.641712396651776,1.5769769203866422,1.899621389394004,20.85460386558578,28.87528322534658,UFC 243
Georges St-Pierre,Justin Gaethje,Georges St-Pierre,2015-03-11,150,-180,22,0,0,16,0,0,27,38,176,195,209,196,Orthodox,Orthodox,Lightweight,True,KO/TKO,2,35.95141478777586,50.10139812858047,1.7289327153547682,0.7986332963757325,33.807660599327455,56.00236623959742,UFC 262
Michael Chandler,Jamahal Hill,Jamahal Hill,2020-03-26,-200,170,24,5,0,20,1,0,33,34,185,178,175,187,Southpaw,Orthodox,Lightweight,True,KO/TKO,4,34.215197497635586,32.11278940582079,3.2276387784316,0.6969018708393961,50.72235672607127,37.62347986511067,UFC 238
Sean O'Malley,Anderson Silva,Sean O'Malley,2015-07-19,150,-180,20,1,0,16,5,0,38,35,194,192,207,170,Orthodox,Switch,Heavyweight,True,Decision - Unanimous,3,47.69281720697833,40.30769687149633,2.387897323226768,1.796243475256245,26.21732120265503,67.23594136419369,UFC 272
Israel Adesanya,Colby Covington,Colby Covington,2018-01-19,150,-180,11,2,0,16,3,0,29,33,170,171,189,178,Orthodox,Switch,Light Heavyweight,False,Decision - Split,1,52.11539863132754,63.91947954379338,3.9492830124971845,3.6851415905559812,48.66374709485069,21.715044482258154,UFC 256
Francis Ngannou,Islam Makhachev,Islam Makhachev,2022-06-17,-200,170,15,1,0,24,5,0,30,33,194,184,192,186,Orthodox,Orthodox,Heavyweight,False,Decision - Unanimous,2,35.572657737314806,47.976504822080855,1.2933320605692815,2.126305937956915,42.542622118312465,42.65534684911637,UFC 217
Georges St-Pierre,Gilbert Burns,Gilbert Burns,2023-01-16,-200,170,21,5,0,11,3,0,31,33,172,180,184,175,Southpaw,Southpaw,Lightweight,False,Submission,3,61.04480780602513,38.05742493659306,2.092053580061687,2.904770712589045,62.18451808332633,56.32503616313619,UFC 243
Nate Diaz,Conor McGregor,Conor McGregor,2022-04-24,-200,170,21,5,0,16,3,0,31,30,194,175,203,205,Orthodox,Switch,Middleweight,False,Decision - Unanimous,1,40.51956148523745,60.65672952866866,2.7106219433690613,1.6219362407658178,32.96600161612065,39.10640869258937,UFC 280
Sean O'Malley,Aljamain Sterling,Sean O'Malley,2016-04-12,150,-180,11,0,0,13,3,0,29,32,171,180,208,173,Orthodox,Switch,Heavyweight,False,Submission,2,45.13924607849133,35.75557261114152,1.7261082342725822,3.0078996847531014,50.993216113936704,27.72877000216487,UFC 308
Tom Aspinall,Khabib Nurmagomedov,Khabib Nurmagomedov,2020-08-29,150,-180,17,0,0,16,5,0,38,29,173,170,173,180,Switch,Orthodox,Middleweight,False,Submission,2,36.67694398042482,30.157949290211807,0.40591515984954674,2.379373665048591,35.199131593916185,24.826439052815473,UFC 259
Belal Muhammad,Gilbert Burns,Belal Muhammad,2014-05-28,-200,170,24,2,0,17,2,0,31,25,186,187,205,184,Southpaw,Orthodox,Light Heavyweight,False,Submission,1,54.01165872666372,32.64472583694885,2.3717109411028456,1.1543782213330176,46.139789346061534,41.82893869921173,UFC 304
Michael Chandler,Georges St-Pierre,Michael Chandler,2020-01-20,-200,170,19,0,0,10,5,0,26,35,172,189,204,192,Orthodox,Switch,Middleweight,False,Submission,5,48.17417988937861,35.40657611629135,2.3964595581399046,0.30846826704008423,20.029739395061252,66.62701147057771,UFC 228
Nate Diaz,Colby Covington,Colby Covington,2015-08-12,-200,170,19,1,0,23,1,0,26,26,171,190,204,172,Southpaw,Switch,Lightweight,False,Submission,4,46.639954710229425,40.67320670027064,1.5034843115552992,0.8954258587106549,31.554126276796183,51.98285559032833,UFC 302
Colby Covington,Gilbert Burns,Gilbert Burns,2020-07-27,150,-180,22,1,0,12,4,0,32,25,194,177,202,200,Orthodox,Switch,Light Heavyweight,False,Decision - Unanimous,4,37.0064188519211,53.7751873168568,2.3713851062199267,0.5986845334992261,32.670828933692206,21.318063993785135,UFC 279
Sean O'Malley,Ciryl Gane,Sean O'Malley,2015-10-03,-200,170,20,1,0,10,4,0,30,25,185,181,206,191,Orthodox,Switch,Heavyweight,False,Submission,1,44.713627636852664,61.22494177724647,3.6911248583542915,2.007812999460007,68.96244843476885,42.32812790612111,UFC 280
Jamahal Hill,Nick Diaz,Jamahal Hill,2015-06-19,-200,170,17,4,0,10,4,0,30,33,173,192,177,201,Southpaw,Switch,Heavyweight,True,Submission,2,44.43688156707984,59.52739707313255,2.4475061222303,0.2571949596604375,69.25448154051722,38.40502252372791,UFC 256
Charles Oliveira,Israel Adesanya,Charles Oliveira,2018-11-02,150,-180,24,2,0,10,3,0,29,37,175,185,177,171,Switch,Switch,Middleweight,False,Decision - Split,2,50.74474414472094,63.39330607507807,2.50318482396358,1.2037338506256376,56.325675032617504,23.408410824587143,UFC 265
Alexander Volkanovski,Dustin Poirier,Alexander Volkanovski,2014-11-23,150,-180,22,2,0,19,2,0,30,38,188,195,198,180,Switch,Switch,Welterweight,False,Decision - Unanimous,1,34.99792720447196,53.42888753544821,2.3716124688694467,0.8758331749380472,22.42213379952122,65.58830976266835,UFC 268
Max Holloway,Kamaru Usman,Max Holloway,2018-05-17,-200,170,24,1,0,17,3,0,36,35,172,178,197,177,Orthodox,Switch,Lightweight,False,Decision - Unanimous,1,57.34071547140057,38.89853814253922,3.567618261967736,3.4441927189276287,61.83127418987165,40.92022330774646,UFC 299
Max Holloway,Khabib Nurmagomedov,Khabib Nurmagomedov,2019-11-15,-200,170,10,3,0,24,5,0,26,36,175,170,197,181,Southpaw,Switch,Light Heavyweight,False,Decision - Split,5,50.77944049337936,58.535247254123334,0.2981619710846237,0.733510517855799,56.61460196958062,40.9163025712942,UFC 282
Alexander Volkanovski,Israel Adesanya,Israel Adesanya,2021-11-22,150,-180,18,3,0,18,4,0,33,29,191,184,175,201,Orthodox,Orthodox,Middleweight,False,Decision - Split,4,34.16281733177421,60.39047316118672,2.9458944873281228,3.5043658328813287,68.17286937737657,30.572568472059334,UFC 208
Nate Diaz,Conor McGregor,Nate Diaz,2016-06-23,-200,170,11,0,0,25,3,0,33,32,178,182,172,196,Orthodox,Orthodox,Light Heavyweight,False,Submission,3,31.632875861669024,44.08184215486445,2.258429560402003,0.24446992247175192,47.68879043098464,48.380967747453596,UFC 294
Dustin Poirier,Belal Muhammad,Dustin Poirier,2014-05-27,150,-180,19,2,0,14,4,0,38,33,193,176,191,185,Orthodox,Switch,Light Heavyweight,False,Decision - Unanimous,1,53.4138331628632,56.75097721936136,3.4531914253877662,2.061450872818316,31.864459402185815,46.11986710905259,UFC 273
Leon Edwards,Daniel Cormier,Daniel Cormier,2022-12-27,150,-180,25,4,0,16,4,0,32,34,185,191,206,190,Orthodox,Southpaw,Heavyweight,False,Submission,2,36.940012867977885,57.553832708251164,1.864415684451385,2.1109846268816477,67.26187655309484,32.614267583354945,UFC 260
Nick Diaz,Alex Pereira,Alex Pereira,2022-11-07,-200,170,25,4,0,21,0,0,26,25,194,178,171,202,Southpaw,Switch,Welterweight,False,Decision - Unanimous,1,42.19023396217237,55.66486295429318,1.2702604688112848,3.038203389454191,69.39499001788104,45.32382180957072,UFC 226
Justin Gaethje,Aljamain Sterling,Aljamain Sterling,2014-09-14,-200,170,10,1,0,25,5,0,30,31,188,188,210,201,Orthodox,Southpaw,Lightweight,False,Decision - Unanimous,1,35.07318209283422,43.322076993852534,3.252929328132588,1.8942983088163183,40.20924749022795,49.73254979930621,UFC 245
Jorge Masvidal,Dustin Poirier,Jorge Masvidal,2015-03-05,-200,170,13,4,0,18,1,0,33,34,188,178,198,199,Southpaw,Switch,Heavyweight,False,Submission,3,46.210605127149265,31.898005221023258,0.6112961854238295,0.14436137946035688,65.6959615468808,30.793423538802383,UFC 271
Ciryl Gane,Khabib Nurmagomedov,Khabib Nurmagomedov,2018-05-17,150,-180,16,1,0,23,3,0,36,27,188,176,170,189,Southpaw,Southpaw,Welterweight,False,Submission,5,39.79957764562008,59.206277257239606,3.6698345587645864,1.998192544945347,29.153018896701802,58.346522078856474,UFC 210
Conor McGregor,Georges St-Pierre,Georges St-Pierre,2023-08-04,150,-180,17,5,0,17,2,0,25,38,178,171,185,210,Switch,Switch,Heavyweight,False,Decision - Split,3,44.248664203223846,45.67655806285076,3.5059331471264383,3.3934868451086895,33.90935841363529,64.07816953396191,UFC 221
Alex Pereira,Ciryl Gane,Alex Pereira,2019-09-02,-200,170,20,5,0,16,3,0,35,38,174,187,172,197,Southpaw,Switch,Lightweight,False,Decision - Unanimous,4,47.03149290386706,35.16930114977784,0.3564321892562794,3.798506523180561,47.63766685550356,43.61789706025783,UFC 298
Khabib Nurmagomedov,Nick Diaz,Nick Diaz,2018-08-10,150,-180,23,0,0,19,2,0,25,36,170,194,186,205,Switch,Southpaw,Welterweight,False,Decision - Unanimous,5,57.382991181531686,30.519019688043993,3.4141895097038537,3.046194803984644,63.51961354960242,50.15319959736859,UFC 309
Jamahal Hill,Nate Diaz,Nate Diaz,2015-11-21,150,-180,20,0,0,24,2,0,33,37,178,187,188,179,Orthodox,Switch,Lightweight,False,KO/TKO,4,47.083316229446226,58.7897930370208,1.6752411567007748,3.2593413303178993,22.448728576777796,42.5357825644526,UFC 228
Nate Diaz,Francis Ngannou,Francis Ngannou,2018-11-27,-200,170,17,3,0,12,0,0,28,31,193,175,199,175,Orthodox,Orthodox,Welterweight,False,Decision - Unanimous,2,60.77892091685176,37.07114486757892,3.8981677275850726,0.6031969203929624,46.9171297524762,40.331252561442305,UFC 249
Francis Ngannou,Georges St-Pierre,Francis Ngannou,2023-02-14,-200,170,21,5,0,22,1,0,25,26,190,179,195,186,Orthodox,Orthodox,Middleweight,False,Decision - Unanimous,5,43.94996271268303,54.9281727222039,2.0359227462947493,0.44097082408385946,52.443476315083885,69.00619577153438,UFC 224
Aljamain Sterling,Michael Chandler,Aljamain Sterling,2020-05-18,-200,170,23,3,0,13,1,0,25,33,194,189,172,186,Switch,Orthodox,Heavyweight,False,KO/TKO,2,63.36682558148718,45.618044753842916,1.7814485040787824,3.2147778809266554,37.37515593686008,64.45428905316334,UFC 219
Kamaru Usman,Nick Diaz,Kamaru Usman,2023-11-19,-200,170,16,3,0,18,1,0,37,37,195,171,180,181,Orthodox,Southpaw,Heavyweight,False,Submission,4,58.36347496190771,34.65081458899663,2.368566905358841,3.4379284045945693,35.93625488691232,45.484780037624965,UFC 266
