home_score,away_score,point_differential,total_points,close_game,week,season_progress,playoff,division_game,overtime,spread_line,underdog_game,favorite_won,home_wins,away_wins,record_differential,combined_wins,rivalry_games,rivalry_intensity,has_qb_data,indoor_game,has_weather
23,43,-20,66,0,8,0.47058823529411764,0,1,0,3.0,0,1,1,4,-3,5,0,0.0,0,0,1
51,23,28,74,0,8,0.47058823529411764,0,0,0,5.5,0,0,5,3,2,8,0,0.0,0,0,1
21,22,-1,43,1,8,0.47058823529411764,0,0,0,-3.5,0,0,2,5,-3,7,0,0.0,0,0,1
44,23,21,67,0,8,0.47058823529411764,0,0,0,2.0,0,0,2,5,-3,7,0,0.0,0,1,0
16,30,-14,46,0,8,0.47058823529411764,0,1,0,-3.5,0,0,2,3,-1,5,0,0.0,0,0,1
51,34,17,85,0,8,0.47058823529411764,0,0,0,-5.0,0,1,4,5,-1,9,0,0.0,0,0,1
13,27,-14,40,0,8,0.47058823529411764,0,0,0,-7.0,1,0,1,3,-2,4,0,0.0,0,0,1
13,19,-6,32,1,8,0.47058823529411764,0,0,1,1.0,0,1,1,2,-1,3,0,0.0,0,0,1
23,13,10,36,0,8,0.47058823529411764,0,0,0,6.5,0,0,3,0,3,3,0,0.0,0,0,1
24,20,4,44,1,8,0.47058823529411764,0,0,0,1.0,0,0,5,5,0,10,0,0.0,0,1,0
9,13,-4,22,1,8,0.47058823529411764,0,0,0,-6.0,0,0,4,3,1,7,0,0.0,0,0,1
34,7,27,41,0,8,0.47058823529411764,0,0,0,7.5,1,0,3,2,1,5,0,0.0,0,0,1
17,20,-3,37,1,8,0.47058823529411764,0,1,1,9.5,1,1,6,2,4,8,0,0.0,0,1,0
10,28,-18,38,0,9,0.5294117647058824,0,1,0,-3.0,0,0,4,3,1,7,0,0.0,0,0,1
17,28,-11,45,0,9,0.5294117647058824,0,0,0,1.5,0,1,6,6,0,12,0,0.0,0,1,0
43,23,20,66,0,9,0.5294117647058824,0,1,0,2.5,0,0,5,5,0,10,0,0.0,0,0,1
43,21,22,64,0,9,0.5294117647058824,0,0,0,-3.0,0,1,6,6,0,12,0,0.0,0,0,1
33,23,10,56,0,9,0.5294117647058824,0,0,0,10.0,1,0,4,1,3,5,0,0.0,0,0,1
24,10,14,34,0,9,0.5294117647058824,0,0,0,9.5,1,0,4,1,3,5,0,0.0,0,0,1
30,24,6,54,1,9,0.5294117647058824,0,0,0,13.5,1,0,4,0,4,4,0,0.0,0,0,1
21,31,-10,52,0,9,0.5294117647058824,0,0,0,-1.5,0,0,4,5,-1,9,0,0.0,0,1,0
37,0,37,37,0,9,0.5294117647058824,0,0,0,3.0,0,0,4,5,-1,9,0,0.0,0,0,1
10,13,-3,23,1,9,0.5294117647058824,0,1,0,10.5,1,1,4,2,2,6,0,0.0,0,0,1
22,17,5,39,1,9,0.5294117647058824,0,0,0,7.0,1,0,4,1,3,5,0,0.0,0,0,1
29,26,3,55,1,9,0.5294117647058824,0,0,0,-1.0,0,1,3,3,0,6,0,0.0,0,0,1
24,40,-16,64,0,9,0.5294117647058824,0,0,0,-3.0,0,0,3,5,-2,8,0,0.0,0,0,1
3,24,-21,27,0,10,0.5882352941176471,0,1,0,6.5,0,1,5,5,0,10,0,0.0,0,0,1
17,27,-10,44,0,10,0.5882352941176471,0,1,0,-3.5,0,0,1,2,-1,3,0,0.0,0,0,1
55,14,41,69,0,10,0.5882352941176471,0,1,0,9.5,1,0,5,3,2,8,0,0.0,0,0,1
17,31,-14,48,0,10,0.5882352941176471,0,0,0,-7.5,1,0,1,6,-5,7,0,0.0,0,0,1
17,41,-24,58,0,10,0.5882352941176471,0,1,0,-13.0,1,0,0,6,-6,6,0,0.0,0,0,1
13,17,-4,30,1,10,0.5882352941176471,0,0,0,2.0,0,1,5,5,0,10,0,0.0,0,0,1
20,16,4,36,1,10,0.5882352941176471,0,0,0,3.0,0,0,6,5,1,11,0,0.0,0,1,0
38,17,21,55,0,10,0.5882352941176471,0,0,0,9.0,1,0,5,3,2,8,0,0.0,0,0,1
20,13,7,33,1,10,0.5882352941176471,0,0,0,-4.5,0,1,1,6,-5,7,0,0.0,0,0,1
24,27,-3,51,1,10,0.5882352941176471,0,0,1,6.0,0,1,4,4,0,8,0,0.0,0,1,0
31,14,17,45,0,10,0.5882352941176471,0,1,0,7.0,1,0,7,3,4,10,0,0.0,0,1,0
21,7,14,28,0,10,0.5882352941176471,0,0,0,10.5,1,0,5,2,3,7,0,0.0,0,0,1
45,21,24,66,0,10,0.5882352941176471,0,0,0,7.0,1,0,6,4,2,10,0,0.0,0,0,1
22,9,13,31,0,11,0.6470588235294118,0,1,0,4.0,0,0,5,5,0,10,0,0.0,0,0,1
17,19,-2,36,1,11,0.6470588235294118,0,1,0,-2.5,0,0,4,3,1,7,0,0.0,0,0,1
10,27,-17,37,0,11,0.6470588235294118,0,0,0,8.5,1,1,4,5,-1,9,0,0.0,0,1,0
22,7,15,29,0,11,0.6470588235294118,0,0,0,-8.0,1,1,3,7,-4,10,0,0.0,0,1,0
14,6,8,20,0,11,0.6470588235294118,0,0,0,-1.0,0,1,8,7,1,15,0,0.0,0,1,0
7,23,-16,30,0,11,0.6470588235294118,0,0,0,4.5,0,1,6,4,2,10,0,0.0,0,0,1
21,13,8,34,0,11,0.6470588235294118,0,1,0,2.5,0,0,3,4,-1,7,0,0.0,0,0,1
20,42,-22,62,0,11,0.6470588235294118,0,0,0,3.0,0,1,6,7,-1,13,0,0.0,0,1,0
13,6,7,19,1,11,0.6470588235294118,0,1,0,10.5,1,0,5,0,5,5,0,0.0,0,0,1
53,20,33,73,0,11,0.6470588235294118,0,0,0,4.5,0,0,6,7,-1,13,0,0.0,0,0,1
24,20,4,44,1,11,0.6470588235294118,0,0,0,-1.0,0,1,6,6,0,12,0,0.0,0,0,1
10,16,-6,26,1,11,0.6470588235294118,0,0,0,-4.0,0,0,3,5,-2,8,0,0.0,0,0,1
7,27,-20,34,0,11,0.6470588235294118,0,0,0,6.5,0,1,3,1,2,4,0,0.0,0,0,1
24,27,-3,51,1,11,0.6470588235294118,0,0,0,-7.0,1,0,2,6,-4,8,0,0.0,0,0,1
24,20,4,44,1,12,0.7058823529411765,0,1,0,-7.5,1,1,0,7,-7,7,0,0.0,0,0,1
19,3,16,22,0,12,0.7058823529411765,0,1,0,7.5,1,0,6,9,-3,15,0,0.0,0,0,1
13,22,-9,35,0,12,0.7058823529411765,0,0,0,3.0,0,1,5,6,-1,11,0,0.0,0,1,0
24,26,-2,50,1,12,0.7058823529411765,0,0,0,3.0,0,1,4,6,-2,10,0,0.0,0,1,0
28,31,-3,59,1,12,0.7058823529411765,0,1,0,-4.0,0,0,3,7,-4,10,0,0.0,0,0,1
34,9,25,43,0,12,0.7058823529411765,0,0,0,7.5,1,0,8,7,1,15,0,0.0,0,0,1
21,24,-3,45,1,12,0.7058823529411765,0,1,0,-7.5,1,0,4,7,-3,11,0,0.0,0,0,1
23,3,20,26,0,12,0.7058823529411765,0,1,0,13.0,1,0,6,1,5,7,0,0.0,0,1,0
39,36,3,75,1,12,0.7058823529411765,0,0,0,6.5,0,0,7,6,1,13,0,0.0,0,0,1
27,24,3,51,1,12,0.7058823529411765,0,0,0,4.0,0,0,6,4,2,10,0,0.0,0,0,1
21,13,8,34,0,12,0.7058823529411765,0,0,0,4.0,0,0,4,2,2,6,0,0.0,0,0,1
43,24,19,67,0,12,0.7058823529411765,0,0,0,11.0,1,0,7,2,5,9,0,0.0,0,0,1
17,13,4,30,1,12,0.7058823529411765,0,0,0,9.0,1,0,6,3,3,9,0,0.0,0,0,1
27,34,-7,61,1,12,0.7058823529411765,0,0,0,2.5,0,1,4,6,-2,10,0,0.0,0,1,0
38,3,35,41,0,12,0.7058823529411765,0,1,0,2.5,0,0,5,2,3,7,0,0.0,0,1,0
34,17,17,51,0,13,0.7647058823529411,0,1,0,7.5,1,0,7,5,2,12,0,0.0,0,1,0
10,33,-23,43,0,13,0.7647058823529411,0,1,0,3.0,0,1,8,8,0,16,0,0.0,0,1,0
3,19,-16,22,0,13,0.7647058823529411,0,1,0,1.0,0,1,7,7,0,14,0,0.0,0,0,1
29,18,11,47,0,13,0.7647058823529411,0,0,0,-1.5,0,1,4,9,-5,13,0,0.0,0,1,0
31,13,18,44,0,13,0.7647058823529411,0,0,0,2.5,0,0,4,4,0,8,0,0.0,0,0,1
13,14,-1,27,1,13,0.7647058823529411,0,0,0,-6.0,0,0,2,7,-5,9,0,0.0,0,0,1
26,10,16,36,0,13,0.7647058823529411,0,0,0,3.0,0,0,6,7,-1,13,0,0.0,0,0,1
16,29,-13,45,0,13,0.7647058823529411,0,1,0,1.0,0,1,7,8,-1,15,0,0.0,0,0,1
26,21,5,47,1,13,0.7647058823529411,0,0,0,3.0,0,0,8,9,-1,17,0,0.0,0,0,1
32,35,-3,67,1,13,0.7647058823529411,0,0,0,3.5,0,1,7,4,3,11,0,0.0,0,0,1
25,24,1,49,1,13,0.7647058823529411,0,0,0,-3.0,0,1,1,3,-2,4,0,0.0,0,0,1
52,0,52,52,0,13,0.7647058823529411,0,0,0,6.5,0,0,4,1,3,5,0,0.0,0,1,0
33,34,-1,67,1,13,0.7647058823529411,0,0,0,6.5,0,1,7,7,0,14,0,0.0,0,0,1
45,21,24,66,0,13,0.7647058823529411,0,1,0,7.0,1,0,5,2,3,7,0,0.0,0,1,0
49,27,22,76,0,13,0.7647058823529411,0,0,0,7.5,1,0,7,3,4,10,0,0.0,0,1,0
13,16,-3,29,1,13,0.7647058823529411,0,1,0,-6.5,0,0,2,6,-4,8,0,0.0,0,0,1
28,41,-13,69,0,14,0.8235294117647058,0,0,0,-3.5,0,0,5,8,-3,13,0,0.0,0,0,1
13,28,-15,41,0,14,0.8235294117647058,0,0,0,3.0,0,1,7,7,0,14,0,0.0,0,0,1
24,17,7,41,1,14,0.8235294117647058,0,0,0,9.0,1,0,9,7,2,16,0,0.0,0,0,1
10,41,-31,51,0,14,0.8235294117647058,0,1,0,8.5,1,1,5,4,1,9,0,0.0,0,1,0
13,27,-14,40,0,14,0.8235294117647058,0,1,0,-6.5,0,0,2,6,-4,8,0,0.0,0,0,1
24,25,-1,49,1,14,0.8235294117647058,0,0,0,-3.0,0,0,7,8,-1,15,0,0.0,0,0,1
17,14,3,31,1,14,0.8235294117647058,0,0,0,-2.5,0,1,9,7,2,16,0,0.0,0,1,0
14,23,-9,37,0,14,0.8235294117647058,0,0,0,-4.0,0,0,8,9,-1,17,0,0.0,0,0,1
7,36,-29,43,0,14,0.8235294117647058,0,0,0,-3.0,0,0,2,3,-1,5,0,0.0,0,0,1
30,24,6,54,1,14,0.8235294117647058,0,0,1,4.5,0,0,5,2,3,7,0,0.0,0,0,1
21,42,-21,63,0,14,0.8235294117647058,0,1,0,3.0,0,1,8,7,1,15,0,0.0,0,0,1
14,24,-10,38,0,14,0.8235294117647058,0,0,0,-1.5,0,0,9,8,1,17,0,0.0,0,0,1
24,13,11,37,0,14,0.8235294117647058,0,0,0,-8.0,1,1,1,7,-6,8,0,0.0,0,0,1
0,24,-24,24,0,14,0.8235294117647058,0,0,0,-2.5,0,0,3,5,-2,8,0,0.0,0,0,1
34,17,17,51,0,14,0.8235294117647058,0,0,0,10.5,1,0,8,2,6,10,0,0.0,0,1,0
43,37,6,80,1,14,0.8235294117647058,0,0,0,13.5,1,0,9,5,4,14,0,0.0,0,0,1
6,12,-6,18,1,15,0.8823529411764706,0,1,0,6.0,0,1,6,10,-4,16,0,0.0,0,1,0
0,30,-30,30,0,15,0.8823529411764706,0,1,0,2.5,0,1,7,8,-1,15,0,0.0,0,0,1
27,38,-11,65,0,15,0.8823529411764706,0,1,0,3.5,0,1,9,9,0,18,0,0.0,0,0,1
10,22,-12,32,0,15,0.8823529411764706,0,1,0,-4.0,0,0,8,10,-2,18,0,0.0,0,0,1
21,13,8,34,0,15,0.8823529411764706,0,0,0,-3.5,0,1,7,10,-3,17,0,0.0,0,0,1
17,10,7,27,1,15,0.8823529411764706,0,1,0,7.0,1,0,9,7,2,16,0,0.0,0,1,0
20,12,8,32,0,15,0.8823529411764706,0,0,0,14.0,1,0,8,2,6,10,0,0.0,0,0,1
41,13,28,54,0,15,0.8823529411764706,0,1,0,9.5,1,0,10,7,3,17,0,0.0,0,0,1
16,14,2,30,1,15,0.8823529411764706,0,1,0,8.0,1,0,9,6,3,15,0,0.0,0,1,0
11,16,-5,27,1,15,0.8823529411764706,0,0,0,-3.5,0,0,2,2,0,4,0,0.0,0,0,1
31,13,18,44,0,15,0.8823529411764706,0,1,0,11.0,1,0,7,2,5,9,0,0.0,0,0,1
20,27,-7,47,1,15,0.8823529411764706,0,0,0,-3.0,0,0,5,8,-3,13,0,0.0,0,1,0
17,7,10,24,0,15,0.8823529411764706,0,1,0,10.0,1,0,9,7,2,16,0,0.0,0,0,1
19,17,2,36,1,15,0.8823529411764706,0,1,0,3.5,0,0,5,2,3,7,0,0.0,0,0,1
24,13,11,37,0,15,0.8823529411764706,0,1,0,7.0,1,0,4,3,1,7,0,0.0,0,0,1
15,31,-16,46,0,15,0.8823529411764706,0,0,0,-3.0,0,0,5,5,0,10,0,0.0,0,0,1
21,13,8,34,0,16,0.9411764705882353,0,1,0,4.0,0,0,2,2,0,4,0,0.0,0,0,1
27,24,3,51,1,16,0.9411764705882353,0,1,0,-7.0,1,1,3,9,-6,12,0,0.0,0,0,1
35,38,-3,73,1,16,0.9411764705882353,0,0,1,2.0,0,1,7,8,-1,15,0,0.0,0,0,1
14,30,-16,44,0,16,0.9411764705882353,0,1,0,6.0,0,1,6,5,1,11,0,0.0,0,1,0
25,13,12,38,0,16,0.9411764705882353,0,0,0,-6.0,0,1,7,9,-2,16,0,0.0,0,1,0
26,24,2,50,1,16,0.9411764705882353,0,0,0,-7.0,1,1,2,8,-6,10,0,0.0,0,0,1
17,13,4,30,1,16,0.9411764705882353,0,0,0,6.0,0,0,6,7,-1,13,0,0.0,0,0,1
14,20,-6,34,1,16,0.9411764705882353,0,1,0,-10.0,1,0,5,10,-5,15,0,0.0,0,0,1
3,20,-17,23,0,16,0.9411764705882353,0,0,0,-11.5,1,0,2,10,-8,12,0,0.0,0,0,1
42,7,35,49,0,16,0.9411764705882353,0,0,0,3.5,0,0,10,10,0,20,0,0.0,0,1,0
20,12,8,32,0,16,0.9411764705882353,0,0,0,2.5,0,0,9,8,1,17,0,0.0,0,0,1
37,35,2,72,1,16,0.9411764705882353,0,0,0,4.5,0,0,7,6,1,13,0,0.0,0,0,1
16,17,-1,33,1,16,0.9411764705882353,0,1,0,-10.0,1,0,3,11,-8,14,0,0.0,0,0,1
27,37,-10,64,0,16,0.9411764705882353,0,0,0,7.0,1,1,6,5,1,11,0,0.0,0,1,0
6,35,-29,41,0,16,0.9411764705882353,0,1,0,-9.5,1,0,11,10,1,21,0,0.0,0,1,0
37,28,9,65,0,16,0.9411764705882353,0,0,0,-3.5,0,1,9,11,-2,20,0,0.0,0,0,1
20,17,3,37,1,17,1.0,0,1,0,6.0,0,0,7,11,-4,18,0,0.0,0,0,1
9,17,-8,26,0,17,1.0,0,1,0,4.5,0,1,12,8,4,20,0,0.0,0,0,1
3,34,-31,37,0,17,1.0,0,1,0,2.5,0,1,6,7,-1,13,0,0.0,0,1,0
13,9,4,22,1,17,1.0,0,1,0,7.0,1,0,6,5,1,11,0,0.0,0,0,1
27,17,10,44,0,17,1.0,0,1,0,3.0,0,0,10,10,0,20,0,0.0,0,0,1
20,10,10,30,0,17,1.0,0,1,0,14.0,1,0,9,7,2,16,0,0.0,0,0,1
